epoch,mark,Desired Torque,Measured Torque,Toe FSR,Heel FSR,PID Signal,Ankle Angle,Power,Stance Phase,Channel 8,Exoskeleton time (seconds)
1778698109.928549,0,0.000000,-0.070000,0.000000,0.000000,105.660000,38.150000,0.230000,0.000000,8.000000,143.940000
1778698109.960882,0,0.000000,-0.070000,0.000000,0.000000,39.200000,38.130000,0.250000,0.000000,8.000000,143.960000
1778698109.967879,0,0.000000,-0.090000,0.000000,0.000000,193.630000,38.160000,0.230000,0.000000,8.000000,143.970000
1778698109.967879,0,0.000000,-0.070000,0.000000,0.000000,166.470000,38.160000,0.230000,0.000000,8.000000,143.970000
1778698109.976918,0,0.000000,-0.070000,0.000000,0.000000,10.530000,38.130000,0.230000,0.000000,8.000000,143.990000
1778698109.976918,0,0.000000,-0.050000,0.000000,0.000000,172.220000,38.060000,0.230000,0.000000,8.000000,144.000000
1778698109.992818,0,0.000000,-0.090000,0.000000,0.000000,-278.360000,38.160000,0.230000,0.000000,8.000000,144.000000
1778698110.021183,0,0.000000,0.000000,0.000000,0.000000,135.750000,38.150000,0.230000,0.000000,8.000000,144.020000
1778698110.028291,0,0.000000,-0.030000,0.000000,0.000000,86.910000,38.150000,0.230000,0.000000,8.000000,144.020000
1778698110.028291,0,0.000000,-0.070000,0.000000,0.000000,156.380000,38.150000,0.230000,0.000000,8.000000,144.030000
1778698110.040974,0,0.000000,-0.050000,0.000000,0.000000,-260.540000,38.130000,0.230000,0.000000,8.000000,144.050000
1778698110.040974,0,0.000000,-0.070000,0.000000,0.000000,100.160000,38.150000,0.230000,0.000000,8.000000,144.050000
1778698110.057011,0,0.000000,-0.100000,0.000000,0.000000,314.080000,38.150000,0.230000,0.000000,8.000000,144.070000
1778698110.105737,0,0.000000,-0.090000,0.000000,0.000000,-271.420000,38.060000,0.230000,0.000000,8.000000,144.080000
1778698110.131581,0,0.000000,-0.050000,0.000000,0.000000,-255.830000,38.160000,0.230000,0.000000,8.000000,144.080000
1778698110.131581,0,0.000000,-0.050000,0.000000,0.000000,169.080000,38.150000,0.230000,0.000000,8.000000,144.100000
1778698110.131581,0,0.000000,-0.050000,0.000000,0.000000,136.080000,38.150000,0.230000,0.000000,8.000000,144.110000
1778698110.158891,0,0.000000,-0.110000,0.000000,0.000000,-45.180000,38.130000,0.230000,0.000000,8.000000,144.110000
1778698110.158891,0,0.000000,-0.090000,0.000000,0.000000,193.030000,38.150000,0.230000,0.000000,8.000000,144.130000
1778698110.158891,0,0.000000,-0.100000,0.000000,0.000000,209.470000,38.150000,0.230000,0.000000,8.000000,144.130000
1778698110.181696,0,0.000000,-0.050000,0.000000,0.000000,131.140000,38.130000,0.230000,0.000000,8.000000,144.140000
1778698110.181696,0,0.000000,-0.090000,0.000000,0.000000,-322.140000,38.150000,0.230000,0.000000,8.000000,144.160000
1778698110.210405,0,0.000000,-0.050000,0.000000,0.000000,127.520000,38.150000,0.230000,0.000000,8.000000,144.160000
1778698110.210405,0,0.000000,0.030000,0.000000,0.000000,-82.860000,38.470000,0.500000,0.000000,8.000000,144.170000
1778698110.210405,0,0.000000,0.000000,0.000000,0.000000,-15.000000,38.270000,0.440000,0.000000,8.000000,144.190000
1778698110.242152,0,0.000000,0.110000,0.000000,0.000000,-240.660000,38.630000,0.750000,0.000000,8.000000,144.190000
1778698110.242152,0,0.000000,0.030000,0.000000,0.000000,-93.900000,38.380000,0.600000,0.000000,8.000000,144.210000
1778698110.273816,0,0.000000,0.100000,0.000000,0.000000,38.250000,38.450000,0.660000,0.000000,8.000000,144.220000
1778698110.273816,0,0.000000,0.050000,0.000000,0.000000,-201.160000,38.450000,0.620000,0.000000,8.000000,144.220000
1778698110.273816,0,0.000000,0.020000,0.000000,0.000000,144.000000,38.450000,0.620000,0.000000,8.000000,144.240000
1778698110.273816,0,0.000000,0.090000,0.000000,0.000000,323.570000,38.380000,0.620000,0.000000,8.000000,144.250000
1778698110.289546,0,0.000000,0.090000,0.000000,0.000000,-135.800000,38.470000,0.610000,0.000000,8.000000,144.250000
1778698110.289546,0,0.000000,0.070000,0.000000,0.000000,128.100000,38.470000,0.580000,0.000000,8.000000,144.270000
1778698110.305235,0,0.000000,0.020000,0.000000,0.000000,-94.580000,38.450000,0.580000,0.000000,8.000000,144.270000
1778698110.320908,0,0.000000,0.000000,0.000000,0.000000,135.570000,38.270000,0.460000,0.000000,8.000000,144.280000
1778698110.320908,0,0.000000,-0.030000,0.000000,0.000000,150.300000,38.250000,0.430000,0.000000,8.000000,144.300000
1778698110.358682,0,0.000000,-0.020000,0.000000,0.000000,75.360000,38.240000,0.410000,0.000000,8.000000,144.300000
1778698110.358682,0,0.000000,0.000000,0.000000,0.000000,20.810000,38.220000,0.280000,0.000000,8.000000,144.320000
1778698110.358682,0,0.000000,0.000000,0.000000,0.000000,265.830000,38.150000,0.230000,0.000000,8.000000,144.330000
1778698110.358682,0,0.000000,-0.020000,0.000000,0.000000,-89.660000,38.150000,0.250000,0.000000,8.000000,144.330000
1778698110.384433,0,0.000000,-0.020000,0.000000,0.000000,-13.980000,38.130000,0.280000,0.000000,8.000000,144.350000
1778698110.384433,0,0.000000,-0.030000,0.000000,0.000000,-98.360000,38.160000,0.270000,0.000000,8.000000,144.360000
1778698110.415044,0,0.000000,-0.050000,0.000000,0.000000,112.770000,38.160000,0.280000,0.000000,8.000000,144.380000
1778698110.415044,0,0.000000,-0.020000,0.000000,0.000000,-15.060000,38.130000,0.280000,0.000000,8.000000,144.380000
1778698110.415044,0,0.000000,-0.070000,0.000000,0.000000,-16.130000,38.150000,0.250000,0.000000,8.000000,144.380000
1778698110.445179,0,0.000000,-0.050000,0.000000,0.000000,203.160000,38.150000,0.230000,0.000000,8.000000,144.390000
1778698110.446179,0,0.000000,-0.070000,0.000000,0.000000,-52.650000,38.150000,0.250000,0.000000,8.000000,144.410000
1778698110.465297,0,0.000000,-0.070000,0.000000,0.000000,160.570000,38.150000,0.230000,0.000000,8.000000,144.420000
1778698110.465297,0,0.000000,-0.070000,0.000000,0.000000,149.970000,38.160000,0.230000,0.000000,8.000000,144.440000
1778698110.465297,0,0.000000,-0.050000,0.000000,0.000000,127.250000,38.090000,0.250000,0.000000,8.000000,144.440000
1778698110.465297,0,0.000000,-0.070000,0.000000,0.000000,-185.160000,38.150000,0.250000,0.000000,8.000000,144.460000
1778698110.497307,0,0.000000,-0.070000,0.000000,0.000000,71.910000,38.150000,0.230000,0.000000,8.000000,144.470000
1778698110.497307,0,0.000000,-0.070000,0.000000,0.000000,-60.830000,38.150000,0.230000,0.000000,8.000000,144.470000
1778698110.513371,0,0.000000,-0.070000,0.000000,0.000000,161.500000,38.160000,0.230000,0.000000,8.000000,144.490000
1778698110.513371,0,0.000000,-0.070000,0.000000,0.000000,16.360000,38.150000,0.230000,0.000000,8.000000,144.500000
1778698110.545232,0,0.000000,-0.070000,0.000000,0.000000,75.010000,38.150000,0.250000,0.000000,8.000000,144.500000
1778698110.545232,0,0.000000,-0.050000,0.000000,0.000000,123.310000,38.160000,0.250000,0.000000,8.000000,144.520000
1778698110.545232,0,0.000000,-0.120000,0.000000,0.000000,25.880000,38.130000,0.230000,0.000000,8.000000,144.520000
1778698110.577385,0,0.000000,-0.100000,0.000000,0.000000,175.380000,38.150000,0.250000,0.000000,8.000000,144.530000
1778698110.577385,0,0.000000,-0.230000,0.000000,0.000000,302.520000,38.150000,0.250000,0.000000,8.000000,144.550000
1778698110.577385,0,0.000000,-0.070000,0.000000,0.000000,-7.940000,38.160000,0.230000,0.000000,8.000000,144.550000
1778698110.609142,0,0.000000,-0.070000,0.000000,0.000000,155.720000,38.160000,0.230000,0.000000,8.000000,144.570000
1778698110.609142,0,0.000000,-0.100000,0.000000,0.000000,34.840000,38.180000,0.250000,0.000000,8.000000,144.580000
1778698110.609142,0,0.000000,-0.050000,0.000000,0.000000,-245.710000,38.150000,0.250000,0.000000,8.000000,144.580000
1778698110.624865,0,0.000000,-0.090000,0.000000,0.000000,-270.670000,38.150000,0.250000,0.000000,8.000000,144.600000
1778698110.624865,0,0.000000,-0.050000,0.000000,0.000000,-299.440000,38.150000,0.250000,0.000000,8.000000,144.610000
1778698110.624865,0,0.000000,-0.070000,0.000000,0.000000,178.350000,38.130000,0.230000,0.000000,8.000000,144.610000
1778698110.658856,0,0.000000,-0.070000,0.000000,0.000000,95.410000,38.130000,0.230000,0.000000,8.000000,144.630000
1778698110.658856,0,0.000000,-0.050000,0.000000,0.000000,231.970000,38.110000,0.230000,0.000000,8.000000,144.630000
1778698110.688992,0,0.000000,-0.050000,0.000000,0.000000,194.270000,38.130000,0.250000,0.000000,8.000000,144.640000
1778698110.688992,0,0.000000,-0.070000,0.000000,0.000000,176.690000,38.150000,0.230000,0.000000,8.000000,144.660000
1778698110.720681,0,0.000000,-0.050000,0.000000,0.000000,114.810000,38.160000,0.230000,0.000000,8.000000,144.660000
1778698110.720681,0,0.000000,-0.070000,0.000000,0.000000,170.410000,38.150000,0.230000,0.000000,8.000000,144.670000
1778698110.720681,0,0.000000,-0.050000,0.000000,0.000000,111.680000,38.060000,0.230000,0.000000,8.000000,144.690000
1778698110.752476,0,0.000000,-0.070000,0.000000,0.000000,168.830000,38.130000,0.230000,0.000000,8.000000,144.690000
1778698110.752476,0,0.000000,-0.090000,0.000000,0.000000,-89.800000,38.150000,0.230000,0.000000,8.000000,144.710000
1778698110.752476,0,0.000000,-0.100000,0.000000,0.000000,-211.860000,38.150000,0.230000,0.000000,8.000000,144.720000
1778698110.752476,0,0.000000,-0.050000,0.000000,0.000000,144.580000,38.150000,0.230000,0.000000,8.000000,144.720000
1778698110.783987,0,0.000000,-0.090000,0.000000,0.000000,-281.980000,38.160000,0.230000,0.000000,8.000000,144.740000
1778698110.783987,0,0.000000,-0.110000,0.000000,0.000000,253.020000,38.150000,0.230000,0.000000,8.000000,144.750000
1778698110.799660,0,0.000000,-0.070000,0.000000,0.000000,153.000000,38.150000,0.230000,0.000000,8.000000,144.770000
1778698110.799660,0,0.000000,-0.070000,0.000000,0.000000,26.190000,38.110000,0.230000,0.000000,8.000000,144.770000
1778698110.799660,0,0.000000,-0.070000,0.000000,0.000000,27.320000,38.160000,0.250000,0.000000,8.000000,144.770000
1778698110.799660,0,0.000000,-0.070000,0.000000,0.000000,34.490000,38.180000,0.250000,0.000000,8.000000,144.780000
1778698110.831269,0,0.000000,-0.050000,0.000000,0.000000,126.380000,38.090000,0.250000,0.000000,8.000000,144.800000
1778698110.831269,0,0.000000,-0.150000,0.000000,0.000000,12.470000,38.130000,0.230000,0.000000,8.000000,144.800000
1778698110.863031,0,0.000000,-0.050000,0.000000,0.000000,-224.220000,38.160000,0.230000,0.000000,8.000000,144.820000
1778698110.863031,0,0.000000,-0.050000,0.000000,0.000000,126.870000,38.150000,0.230000,0.000000,8.000000,144.830000
1778698110.863031,0,0.000000,-0.100000,0.000000,0.000000,219.740000,38.150000,0.230000,0.000000,8.000000,144.850000
1778698110.903942,0,0.000000,-0.050000,0.000000,0.000000,146.720000,38.180000,0.250000,0.000000,8.000000,144.860000
1778698110.903942,0,0.000000,-0.090000,0.000000,0.000000,325.890000,38.150000,0.230000,0.000000,8.000000,144.860000
1778698110.903942,0,0.000000,-0.070000,0.000000,0.000000,5.010000,38.150000,0.230000,0.000000,8.000000,144.880000
1778698110.926373,0,0.000000,-0.070000,0.000000,0.000000,82.150000,38.110000,0.250000,0.000000,8.000000,144.880000
1778698110.926373,0,0.000000,-0.070000,0.000000,0.000000,145.890000,38.150000,0.230000,0.000000,8.000000,144.890000
1778698110.926373,0,0.000000,-0.030000,0.000000,0.000000,99.470000,38.150000,0.230000,0.000000,8.000000,144.910000
1778698110.959205,0,0.000000,-0.050000,0.000000,0.000000,119.510000,38.150000,0.230000,0.000000,8.000000,144.910000
1778698110.959205,0,0.000000,-0.090000,0.000000,0.000000,-308.540000,38.160000,0.230000,0.000000,8.000000,144.920000
1778698110.959205,0,0.000000,-0.090000,0.000000,0.000000,-90.360000,38.160000,0.230000,0.000000,8.000000,144.940000
1778698110.959205,0,0.000000,-0.050000,0.000000,0.000000,125.200000,38.160000,0.250000,0.000000,8.000000,144.940000
1778698110.989733,0,0.000000,-0.050000,0.000000,0.000000,141.160000,38.160000,0.230000,0.000000,8.000000,144.960000
1778698110.989733,0,0.000000,-0.030000,0.000000,0.000000,-144.750000,38.150000,0.250000,0.000000,8.000000,144.970000
1778698110.989733,0,0.000000,-0.070000,0.000000,0.000000,161.410000,38.130000,0.230000,0.000000,8.000000,144.970000
1778698111.021290,0,0.000000,-0.090000,0.000000,0.000000,-257.940000,38.160000,0.230000,0.000000,8.000000,144.990000
1778698111.021290,0,0.000000,-0.090000,0.000000,0.000000,-309.800000,38.150000,0.250000,0.000000,8.000000,145.000000
1778698111.053390,0,0.000000,-0.100000,0.000000,0.000000,184.600000,38.160000,0.230000,0.000000,8.000000,145.000000
1778698111.053390,0,0.000000,-0.090000,0.000000,0.000000,187.460000,38.130000,0.230000,0.000000,8.000000,145.020000
1778698111.053390,0,0.000000,-0.070000,0.000000,0.000000,85.410000,38.180000,0.230000,0.000000,8.000000,145.020000
1778698111.053390,0,0.000000,-0.070000,0.000000,0.000000,28.040000,38.160000,0.250000,0.000000,8.000000,145.030000
