epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Ankle Angle,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1770143451.496302,0,134.860000,0.000000,0.000000,-0.680000,61.360000,0.000000,0.020000,0.150000,8.000000,27.340000
1770143451.512354,0,123.480000,0.000000,0.000000,-0.610000,58.200000,0.000000,0.030000,0.150000,8.000000,27.350000
1770143451.528050,0,188.580000,0.000000,0.000000,-0.890000,54.840000,0.000000,0.070000,0.100000,8.000000,27.370000
1770143451.543772,0,142.630000,0.000000,0.000000,-0.720000,51.720000,0.000000,0.090000,0.210000,8.000000,27.370000
1770143451.559622,0,169.830000,0.000000,0.000000,-0.800000,48.790000,0.000000,0.100000,0.330000,8.000000,27.390000
1770143451.584883,0,183.410000,0.000000,0.000000,-0.890000,45.680000,0.000000,0.100000,0.210000,8.000000,27.400000
1770143451.591556,0,144.470000,0.000000,0.000000,-0.750000,42.680000,0.000000,0.100000,0.100000,8.000000,27.430000
1770143451.607568,0,137.500000,0.000000,0.000000,-0.720000,39.770000,0.000000,0.100000,0.100000,8.000000,27.440000
1770143451.623357,0,147.750000,0.000000,0.000000,-0.720000,36.930000,0.000000,0.120000,0.100000,8.000000,27.450000
1770143451.623357,0,99.520000,0.000000,0.000000,-0.500000,34.060000,0.000000,0.140000,0.210000,8.000000,27.460000
1770143451.639012,0,83.880000,0.000000,0.000000,-0.370000,31.180000,0.000000,0.150000,0.210000,8.000000,27.480000
1770143451.654700,0,95.440000,0.000000,0.000000,-0.440000,28.400000,0.000000,0.150000,0.100000,8.000000,27.500000
1770143451.670464,0,37.880000,0.000000,0.000000,-0.180000,25.340000,0.000000,0.170000,0.330000,8.000000,27.520000
1770143451.686119,0,34.000000,0.000000,0.000000,-0.140000,22.500000,0.000000,0.180000,0.100000,8.000000,27.530000
1770143451.718023,0,25.170000,0.000000,0.000000,-0.090000,19.630000,0.000000,0.200000,0.100000,8.000000,27.540000
1770143451.733902,0,-27.290000,0.000000,0.000000,0.090000,16.970000,0.000000,0.230000,0.210000,8.000000,27.550000
1770143451.733902,0,-30.780000,0.000000,0.000000,0.140000,15.140000,0.000000,0.250000,0.210000,8.000000,27.570000
1770143451.749547,0,-83.370000,0.000000,0.000000,0.400000,13.190000,0.000000,0.280000,0.100000,8.000000,27.590000
1770143451.765562,0,-90.760000,0.000000,0.000000,0.430000,11.800000,0.000000,0.330000,0.660000,8.000000,27.610000
1770143451.781551,0,-100.300000,0.000000,0.000000,0.490000,10.960000,0.000000,0.370000,0.100000,8.000000,27.620000
1770143451.781551,0,-142.080000,0.000000,0.000000,0.680000,11.010000,0.000000,0.410000,0.210000,8.000000,27.630000
1770143451.812995,0,-151.490000,0.000000,0.000000,0.740000,11.610000,0.000000,0.460000,0.100000,8.000000,27.640000
1770143451.829493,0,-144.020000,0.000000,0.000000,0.700000,13.020000,0.000000,0.470000,0.100000,8.000000,27.670000
1770143451.845019,0,-142.990000,0.000000,0.000000,0.690000,15.250000,0.000000,0.500000,0.100000,8.000000,27.680000
1770143451.876689,0,-135.580000,0.000000,0.000000,0.670000,17.960000,0.000000,0.500000,0.550000,8.000000,27.700000
1770143451.876689,0,-120.930000,0.000000,0.000000,0.620000,20.820000,0.000000,0.510000,0.000000,8.000000,27.700000
1770143451.892573,0,-146.490000,0.000000,0.000000,0.740000,24.020000,0.000000,0.510000,0.100000,8.000000,27.720000
1770143451.908224,0,-168.720000,0.000000,0.000000,0.810000,27.180000,0.000000,0.510000,0.000000,8.000000,27.750000
1770143451.924226,0,-144.440000,0.000000,0.000000,0.720000,30.230000,0.000000,0.510000,0.210000,8.000000,27.760000
1770143451.948210,0,-159.890000,0.000000,0.000000,0.770000,33.200000,0.000000,0.510000,0.210000,8.000000,27.780000
1770143451.959120,0,-138.880000,0.000000,0.000000,0.700000,36.290000,0.000000,0.500000,0.210000,8.000000,27.790000
1770143451.972066,0,-124.180000,0.000000,0.000000,0.580000,39.610000,0.000000,0.500000,0.100000,8.000000,27.800000
1770143451.972066,0,-65.330000,0.000000,0.000000,0.370000,42.150000,0.000000,0.470000,0.210000,8.000000,27.810000
1770143452.004055,0,-68.110000,0.000000,0.000000,0.340000,45.000000,0.000000,0.460000,0.210000,8.000000,27.840000
1770143452.004055,0,-49.950000,0.000000,0.000000,0.250000,48.150000,0.000000,0.430000,0.100000,8.000000,27.850000
1770143452.035424,0,-42.340000,0.000000,0.000000,0.210000,51.180000,0.000000,0.410000,0.330000,8.000000,27.870000
1770143452.051289,0,-33.060000,0.000000,0.000000,0.170000,53.840000,0.000000,0.400000,0.100000,8.000000,27.870000
1770143452.067338,0,-22.720000,0.000000,0.000000,0.100000,56.740000,0.000000,0.380000,0.210000,8.000000,27.890000
1770143452.082982,0,-39.970000,0.000000,0.000000,0.180000,59.590000,0.000000,0.360000,0.100000,8.000000,27.900000
1770143452.082982,0,7.230000,0.000000,0.000000,0.000000,62.430000,0.000000,0.340000,0.330000,8.000000,27.930000
1770143452.098984,0,-19.540000,0.000000,0.000000,0.120000,64.900000,0.000000,0.330000,0.100000,8.000000,27.940000
1770143452.130667,0,30.770000,0.000000,0.000000,-0.100000,67.300000,0.000000,0.300000,0.100000,8.000000,27.950000
1770143452.130667,0,-4.460000,0.000000,0.000000,0.000000,69.120000,0.000000,0.270000,0.100000,8.000000,27.960000
1770143452.146589,0,78.900000,0.000000,0.000000,-0.370000,70.510000,0.000000,0.200000,0.100000,8.000000,27.980000
1770143452.162529,0,37.130000,0.000000,0.000000,-0.250000,72.150000,0.000000,0.150000,0.210000,8.000000,28.010000
1770143452.178433,0,95.270000,0.000000,0.000000,-0.440000,72.650000,0.000000,0.110000,0.100000,8.000000,28.020000
1770143452.194353,0,92.330000,0.000000,0.000000,-0.470000,72.560000,0.000000,0.100000,0.210000,8.000000,28.040000
1770143452.210090,0,115.860000,0.000000,0.000000,-0.570000,71.940000,0.000000,0.090000,0.100000,8.000000,28.040000
1770143452.225872,0,115.480000,0.000000,0.000000,-0.570000,70.730000,0.000000,0.050000,0.210000,8.000000,28.060000
1770143452.241805,0,110.980000,0.000000,0.000000,-0.580000,68.680000,0.000000,0.050000,0.210000,8.000000,28.070000
1770143452.257875,0,104.810000,0.000000,0.000000,-0.570000,66.150000,0.000000,0.070000,0.100000,8.000000,28.100000
1770143452.273742,0,143.600000,0.000000,0.000000,-0.730000,63.290000,0.000000,0.090000,0.100000,8.000000,28.110000
1770143452.289492,0,121.090000,0.000000,0.000000,-0.640000,60.430000,0.000000,0.090000,0.100000,8.000000,28.120000
1770143452.305142,0,144.910000,0.000000,0.000000,-0.680000,57.220000,0.000000,0.100000,0.100000,8.000000,28.130000
1770143452.320872,0,190.350000,0.000000,0.000000,-0.930000,54.130000,0.000000,0.100000,0.100000,8.000000,28.150000
1770143452.336993,0,128.580000,0.000000,0.000000,-0.680000,51.000000,0.000000,0.120000,0.000000,8.000000,28.180000
1770143452.353011,0,149.110000,0.000000,0.000000,-0.740000,47.900000,0.000000,0.150000,0.330000,8.000000,28.190000
1770143452.368705,0,132.800000,0.000000,0.000000,-0.660000,45.000000,0.000000,0.170000,0.000000,8.000000,28.200000
1770143452.368705,0,105.700000,0.000000,0.000000,-0.510000,42.080000,0.000000,0.180000,0.210000,8.000000,28.210000
1770143452.384668,0,110.950000,0.000000,0.000000,-0.510000,39.310000,0.000000,0.200000,0.210000,8.000000,28.220000
1770143452.400562,0,55.910000,0.000000,0.000000,-0.280000,36.560000,0.000000,0.210000,0.210000,8.000000,28.250000
1770143452.416551,0,18.900000,0.000000,0.000000,-0.070000,33.880000,0.000000,0.230000,0.000000,8.000000,28.260000
1770143452.448305,0,-1.250000,0.000000,0.000000,-0.020000,30.890000,0.000000,0.250000,0.210000,8.000000,28.280000
1770143452.448305,0,12.570000,0.000000,0.000000,-0.070000,28.140000,0.000000,0.270000,0.210000,8.000000,28.290000
1770143452.471435,0,5.780000,0.000000,0.000000,-0.050000,25.510000,0.000000,0.270000,0.100000,8.000000,28.300000
1770143452.479779,0,-8.170000,0.000000,0.000000,0.050000,23.290000,0.000000,0.270000,0.210000,8.000000,28.320000
1770143452.495563,0,-13.300000,0.000000,0.000000,0.050000,21.370000,0.000000,0.280000,0.100000,8.000000,28.340000
1770143452.511656,0,-13.180000,0.000000,0.000000,0.050000,19.670000,0.000000,0.300000,0.210000,8.000000,28.350000
