epoch,mark,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9
1769015441.977440,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015441.993093,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.018053,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.037368,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.055014,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.070958,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.070958,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.092076,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.114225,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.114225,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.137970,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.155931,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.176762,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.181257,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.197092,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.197092,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.214158,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.244618,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.244618,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.260280,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.292013,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.292013,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.314206,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.323362,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
1769015442.339036,0,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,0.000000
