epoch,mark,Measured Torque Arm1 (R),Desired Torque Arm1 (R),Measured Torque Arm1 (L),Desired Torque Arm1 (L),Measured Torque Arm2 (R),Desired Torque Arm2 (R),Measured Torque Arm2 (L),Desired Torque Arm2 (L),Gait/100 (R),Gait/100 (L)
1769634986.683891,0,0.000000,9.060000,0.000000,9.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.715372,0,0.000000,9.520000,0.000000,9.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.715372,0,0.000000,9.890000,0.000000,9.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.731100,0,0.000000,10.250000,0.000000,10.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.762519,0,0.000000,10.500000,0.000000,10.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.784509,0,0.000000,10.640000,0.000000,10.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.784509,0,0.000000,10.710000,0.000000,10.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.784509,0,0.000000,10.640000,0.000000,10.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.809692,0,0.000000,10.440000,0.000000,10.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.841371,0,0.000000,10.100000,0.000000,10.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.841371,0,0.000000,9.590000,0.000000,9.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.873082,0,0.000000,8.930000,0.000000,8.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.888733,0,0.000000,8.190000,0.000000,8.210000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.888733,0,0.000000,7.340000,0.000000,7.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.920341,0,0.000000,6.360000,0.000000,6.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.920341,0,0.000000,5.320000,0.000000,5.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.935980,0,0.000000,4.210000,0.000000,4.210000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1769634986.951677,0,0.000000,3.070000,0.000000,3.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
