epoch,mark,Desired Torque (L),Ankle Angle,Desired Torque (R),Measured Torque (R),Toe FSR (L),Stance Phase (L),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769029745.591327,0,0.000000,58.910000,0.000000,0.000000,19.700000,0.000000,0.000000,0.000000,8.000000,176.170000
1769029745.591327,0,0.000000,58.910000,0.000000,0.000000,19.750000,0.000000,0.000000,0.250000,8.000000,176.190000
1769029745.615804,0,0.000000,58.950000,0.000000,0.000000,19.530000,0.000000,0.000000,0.250000,8.000000,176.210000
1769029745.642533,0,0.000000,58.830000,0.000000,0.020000,19.470000,0.000000,0.000000,0.000000,8.000000,176.220000
1769029745.642533,0,0.000000,58.810000,0.000000,0.000000,19.630000,0.000000,0.000000,0.250000,8.000000,176.240000
1769029745.663262,0,0.000000,58.860000,0.000000,0.070000,19.750000,0.000000,0.000000,0.000000,8.000000,176.250000
1769029745.663262,0,0.000000,58.770000,0.000000,-0.010000,19.530000,0.000000,0.000000,0.000000,8.000000,176.270000
1769029745.683716,0,0.000000,58.880000,0.000000,0.070000,19.470000,0.000000,0.000000,0.000000,8.000000,176.270000
1769029745.683716,0,0.000000,58.910000,0.000000,0.000000,19.470000,0.000000,0.000000,0.250000,8.000000,176.300000
1769029745.714582,0,0.000000,58.910000,0.000000,-0.150000,19.530000,0.000000,0.000000,0.250000,8.000000,176.300000
1769029745.755668,0,0.000000,58.910000,0.000000,0.000000,19.860000,0.000000,0.000000,0.000000,8.000000,176.330000
1769029745.755668,0,0.000000,58.880000,0.000000,-0.010000,19.700000,0.000000,0.000000,0.000000,8.000000,176.330000
1769029745.755668,0,0.000000,58.830000,0.000000,-0.050000,19.590000,0.000000,0.000000,0.400000,8.000000,176.360000
1769029745.755668,0,0.000000,58.650000,0.000000,0.000000,19.590000,0.000000,0.000000,0.000000,8.000000,176.360000
1769029745.796727,0,0.000000,58.490000,0.000000,-0.070000,19.630000,0.000000,0.000000,0.000000,8.000000,176.380000
1769029745.796727,0,0.000000,58.400000,0.000000,0.000000,19.860000,0.000000,0.000000,0.000000,8.000000,176.390000
1769029745.796727,0,0.000000,58.470000,0.000000,0.000000,19.470000,0.000000,0.000000,0.000000,8.000000,176.410000
1769029745.821866,0,0.000000,58.490000,0.000000,0.000000,19.630000,0.000000,0.000000,0.000000,8.000000,176.420000
1769029745.845639,0,0.000000,58.470000,0.000000,0.000000,19.590000,0.000000,0.000000,0.000000,8.000000,176.440000
1769029745.868949,0,0.000000,58.290000,0.000000,0.050000,19.470000,0.000000,0.000000,0.000000,8.000000,176.470000
1769029745.889699,0,0.000000,58.220000,0.000000,-0.030000,19.530000,0.000000,0.000000,0.200000,8.000000,176.470000
1769029745.889699,0,0.000000,58.020000,0.000000,0.000000,19.590000,0.000000,0.000000,0.200000,8.000000,176.500000
1769029745.915403,0,0.000000,57.770000,0.000000,0.000000,19.530000,0.000000,0.000000,0.000000,8.000000,176.500000
1769029745.915403,0,0.000000,57.860000,0.000000,0.000000,19.630000,0.000000,0.000000,0.200000,8.000000,176.520000
1769029745.940942,0,0.000000,57.840000,0.000000,0.000000,19.590000,0.000000,0.000000,0.000000,8.000000,176.530000
1769029745.962337,0,0.000000,58.090000,0.000000,0.000000,19.590000,0.000000,0.000000,0.000000,8.000000,176.550000
1769029745.982019,0,0.000000,58.080000,0.000000,-0.030000,19.630000,0.000000,0.000000,0.000000,8.000000,176.570000
1769029745.992299,0,0.000000,58.270000,0.000000,0.020000,19.750000,0.000000,0.000000,0.000000,8.000000,176.580000
1769029745.992299,0,0.000000,58.310000,0.000000,0.020000,19.470000,0.000000,0.000000,0.000000,8.000000,176.610000
1769029746.012653,0,0.000000,58.290000,0.000000,-0.050000,19.470000,0.000000,0.000000,0.200000,8.000000,176.610000
1769029746.043236,0,0.000000,58.430000,0.000000,-0.020000,19.530000,0.000000,0.000000,0.400000,8.000000,176.630000
1769029746.063792,0,0.000000,58.450000,0.000000,-0.010000,19.530000,0.000000,0.000000,0.000000,8.000000,176.640000
1769029746.063792,0,0.000000,58.680000,0.000000,-0.020000,19.590000,0.000000,0.000000,0.000000,8.000000,176.660000
1769029746.063792,0,0.000000,58.790000,0.000000,0.020000,19.630000,0.000000,0.000000,0.000000,8.000000,176.670000
1769029746.105027,0,0.000000,59.000000,0.000000,0.000000,19.700000,0.000000,0.000000,0.000000,8.000000,176.690000
1769029746.105027,0,0.000000,59.270000,0.000000,-0.010000,19.630000,0.000000,0.000000,0.800000,8.000000,176.710000
1769029746.105027,0,0.000000,59.470000,0.000000,0.000000,19.530000,0.000000,0.000000,0.000000,8.000000,176.720000
1769029746.105027,0,0.000000,59.750000,0.000000,0.010000,19.750000,0.000000,0.000000,0.000000,8.000000,176.740000
1769029746.159154,0,0.000000,59.880000,0.000000,0.000000,19.590000,0.000000,0.000000,0.000000,8.000000,176.750000
1769029746.159665,0,0.000000,59.990000,0.000000,0.050000,19.590000,0.000000,0.000000,0.000000,8.000000,176.770000
1769029746.159665,0,0.000000,60.020000,0.000000,0.020000,19.860000,0.000000,0.000000,0.000000,8.000000,176.770000
1769029746.198022,0,0.000000,60.020000,0.000000,0.000000,19.420000,0.000000,0.000000,0.000000,8.000000,176.800000
1769029746.198022,0,0.000000,60.040000,0.000000,0.000000,19.530000,0.000000,0.000000,0.400000,8.000000,176.800000
1769029746.198022,0,0.000000,60.130000,0.000000,0.010000,19.370000,0.000000,0.000000,0.600000,8.000000,176.830000
1769029746.244720,0,0.000000,60.380000,0.000000,-0.020000,19.750000,0.000000,0.000000,0.200000,8.000000,176.830000
1769029746.244720,0,0.000000,60.310000,0.000000,0.000000,19.470000,0.000000,0.000000,0.200000,8.000000,176.860000
1769029746.244720,0,0.000000,60.220000,0.000000,-0.070000,19.300000,0.000000,0.000000,0.200000,8.000000,176.860000
1769029746.292375,0,0.000000,59.880000,0.000000,0.000000,19.590000,0.000000,0.000000,0.200000,8.000000,176.880000
1769029746.292375,0,0.000000,59.250000,0.000000,-0.150000,19.530000,0.000000,0.000000,0.000000,8.000000,176.890000
1769029746.292375,0,0.000000,57.770000,0.000000,-0.100000,19.470000,0.000000,0.000000,0.000000,8.000000,176.910000
1769029746.332024,0,0.000000,56.160000,0.000000,-0.150000,19.530000,0.000000,0.000000,0.000000,8.000000,176.920000
1769029746.332024,0,0.000000,54.340000,0.000000,-0.050000,19.470000,0.000000,0.000000,0.200000,8.000000,176.940000
1769029746.332024,0,0.000000,52.000000,0.000000,-0.110000,19.700000,0.000000,0.000000,0.200000,8.000000,176.960000
1769029746.373499,0,0.000000,49.450000,0.000000,-0.030000,19.590000,0.000000,0.000000,0.000000,8.000000,176.970000
1769029746.373499,0,0.000000,46.500000,0.000000,-0.050000,19.590000,0.000000,0.000000,0.000000,8.000000,176.990000
1769029746.404167,0,0.000000,43.340000,0.000000,-0.150000,19.420000,0.000000,0.000000,0.000000,8.000000,177.000000
1769029746.424708,0,0.000000,39.970000,0.000000,-0.050000,19.590000,0.000000,0.000000,0.000000,8.000000,177.020000
1769029746.449884,0,0.000000,36.410000,0.000000,-0.150000,19.420000,0.000000,0.000000,0.000000,8.000000,177.030000
1769029746.449884,0,0.000000,32.650000,0.000000,-0.140000,19.420000,0.000000,0.000000,0.200000,8.000000,177.050000
1769029746.476095,0,0.000000,28.950000,0.000000,-0.150000,19.370000,0.000000,0.000000,0.000000,8.000000,177.070000
1769029746.476095,0,0.000000,24.860000,0.000000,-0.100000,19.420000,0.000000,0.000000,0.400000,8.000000,177.080000
1769029746.496878,0,0.000000,21.030000,0.000000,-0.120000,19.530000,0.000000,0.000000,0.000000,8.000000,177.100000
1769029746.496878,0,0.000000,17.270000,0.000000,-0.050000,19.630000,0.000000,0.000000,0.000000,8.000000,177.110000
1769029746.527944,0,0.000000,13.640000,0.000000,-0.070000,19.420000,0.000000,0.000000,0.000000,8.000000,177.130000
1769029746.548605,0,0.000000,10.250000,0.000000,0.000000,19.470000,0.000000,0.000000,0.000000,8.000000,177.140000
1769029746.548605,0,0.000000,7.030000,0.000000,-0.070000,19.370000,0.000000,0.000000,0.200000,8.000000,177.160000
1769029746.579634,0,0.000000,3.670000,0.000000,-0.050000,19.470000,0.000000,0.000000,0.000000,8.000000,177.170000
1769029746.579634,0,0.000000,0.460000,0.000000,-0.200000,19.530000,0.000000,0.000000,0.000000,8.000000,177.190000
1769029746.610398,0,0.000000,0.110000,0.000000,-0.070000,19.420000,0.000000,0.000000,0.000000,8.000000,177.210000
1769029746.610398,0,0.000000,0.100000,0.000000,-0.460000,19.040000,0.000000,0.000000,0.000000,8.000000,177.220000
1769029746.639483,0,0.000000,0.110000,0.000000,-0.430000,19.200000,0.000000,0.000000,0.000000,8.000000,177.240000
1769029746.661346,0,0.000000,0.070000,0.000000,-0.410000,19.040000,0.000000,0.000000,0.200000,8.000000,177.250000
1769029746.661346,0,0.000000,0.070000,0.000000,-0.440000,19.040000,0.000000,0.000000,0.200000,8.000000,177.270000
1769029746.685354,0,0.000000,0.110000,0.000000,-0.460000,19.040000,0.000000,0.000000,0.000000,8.000000,177.270000
1769029746.685354,0,0.000000,0.100000,0.000000,-0.490000,18.980000,0.000000,0.000000,0.000000,8.000000,177.300000
1769029746.702517,0,0.000000,0.050000,0.000000,-0.580000,18.670000,0.000000,0.000000,0.000000,8.000000,177.300000
1769029746.733127,0,0.000000,0.070000,0.000000,-0.680000,18.710000,0.000000,0.000000,0.000000,8.000000,177.330000
1769029746.733127,0,0.000000,0.100000,0.000000,-0.860000,18.610000,0.000000,0.000000,0.000000,8.000000,177.330000
1769029746.760416,0,0.000000,0.150000,0.000000,-0.800000,18.550000,0.000000,0.000000,0.200000,8.000000,177.360000
1769029746.760416,0,0.000000,0.180000,0.000000,-0.890000,18.500000,0.000000,0.000000,0.000000,8.000000,177.360000
1769029746.784566,0,0.000000,0.110000,0.000000,-0.910000,18.450000,0.000000,0.000000,0.000000,8.000000,177.380000
1769029746.810731,0,0.000000,0.110000,0.000000,-0.930000,18.670000,0.000000,0.000000,0.000000,8.000000,177.390000
1769029746.835937,0,0.000000,0.110000,0.000000,-0.860000,18.500000,0.000000,0.000000,0.000000,8.000000,177.410000
1769029746.835937,0,0.000000,0.110000,0.000000,-0.880000,18.550000,0.000000,0.000000,0.000000,8.000000,177.420000
1769029746.842726,0,0.000000,0.100000,0.000000,-0.870000,18.450000,0.000000,0.000000,0.200000,8.000000,177.440000
1769029746.860539,0,0.000000,0.100000,0.000000,-0.830000,18.670000,0.000000,0.000000,0.000000,8.000000,177.460000
1769029746.887347,0,0.000000,0.100000,0.000000,-0.810000,18.450000,0.000000,0.000000,0.000000,8.000000,177.470000
1769029746.887347,0,0.000000,0.150000,0.000000,-0.740000,18.820000,0.000000,0.000000,0.000000,8.000000,177.490000
