epoch,mark,Desired Torque,Measured Torque,Toe FSR,Heel FSR,PID Signal,Ankle Angle,Power,Stance Phase,Battery Level (Volts),Exoskeleton time (seconds)
1774478846.046087,0,0.000000,-0.570000,0.870000,0.000000,293.010000,47.910000,11.090000,0.000000,24.220000,44.560000
1774478846.049013,0,0.000000,-0.630000,0.870000,0.000000,300.410000,47.790000,11.030000,0.000000,24.150000,44.590000
1774478846.064718,0,0.000000,-0.370000,0.870000,0.000000,134.130000,46.770000,11.210000,0.000000,24.140000,44.590000
1774478846.080352,0,0.000000,-0.180000,0.870000,0.000000,18.000000,45.240000,11.220000,0.000000,24.180000,44.610000
1774478846.096021,0,0.000000,0.120000,0.870000,0.000000,-98.440000,43.790000,10.770000,0.000000,24.230000,44.630000
1774478846.113723,0,0.000000,0.250000,0.820000,0.000000,-158.160000,42.790000,10.280000,0.000000,24.220000,44.650000
1774478846.127488,0,0.000000,0.380000,0.800000,0.000000,-216.800000,42.220000,9.840000,0.000000,24.210000,44.650000
1774478846.143178,0,0.000000,0.490000,0.750000,0.000000,-245.960000,42.310000,9.570000,0.000000,24.190000,44.680000
1774478846.159239,0,0.000000,0.430000,0.750000,0.000000,-230.500000,43.220000,9.610000,0.000000,24.150000,44.680000
1774478846.175240,0,0.000000,0.330000,0.750000,0.000000,-112.720000,44.630000,9.820000,0.000000,24.120000,44.700000
1774478846.190907,0,0.000000,0.310000,0.790000,0.000000,-166.050000,46.410000,9.940000,0.000000,24.130000,44.720000
1774478846.206672,0,0.000000,0.110000,0.820000,0.000000,-54.950000,48.310000,9.760000,0.000000,24.180000,44.740000
1774478846.222358,0,0.000000,-0.050000,0.870000,0.000000,60.540000,50.180000,9.350000,0.000000,24.210000,44.750000
1774478846.238180,0,0.000000,-0.230000,0.910000,0.000000,84.410000,51.970000,8.930000,0.000000,24.250000,44.770000
1774478846.253821,0,0.000000,-0.250000,0.930000,0.000000,170.970000,53.150000,8.520000,0.000000,24.210000,44.790000
1774478846.269474,0,0.000000,-0.300000,0.930000,0.000000,140.190000,53.790000,8.130000,0.000000,24.220000,44.790000
1774478846.285523,0,0.000000,-0.280000,0.930000,0.000000,104.610000,54.240000,7.860000,0.000000,24.200000,44.810000
1774478846.301503,0,0.000000,-0.250000,0.930000,0.000000,114.660000,53.790000,7.710000,0.000000,24.200000,44.830000
1774478846.317286,0,0.000000,-0.230000,0.910000,0.000000,84.880000,53.180000,7.610000,0.000000,24.190000,44.840000
1774478846.332987,0,0.000000,-0.230000,0.880000,0.000000,134.990000,52.410000,7.530000,0.000000,24.190000,44.860000
1774478846.347545,0,0.000000,-0.180000,0.870000,0.000000,77.330000,51.450000,7.380000,0.000000,24.190000,44.880000
1774478846.363257,0,0.000000,-0.180000,0.850000,0.000000,74.330000,50.540000,7.300000,0.000000,24.180000,44.880000
1774478846.378891,0,0.000000,-0.010000,0.830000,0.000000,-12.010000,49.560000,7.110000,0.000000,24.200000,44.900000
1774478846.394537,0,0.000000,-0.020000,0.820000,0.000000,-18.450000,48.450000,7.030000,0.000000,24.200000,44.910000
1774478846.410209,0,0.000000,0.010000,0.810000,0.000000,-25.030000,47.650000,6.780000,0.000000,24.200000,44.930000
1774478846.410209,0,0.000000,0.030000,0.810000,0.000000,-11.020000,47.020000,6.570000,0.000000,24.200000,44.950000
1774478846.441834,0,0.000000,0.140000,0.810000,0.000000,-45.770000,46.470000,6.340000,0.000000,24.210000,44.970000
1774478846.441834,0,0.000000,0.140000,0.770000,0.000000,-92.510000,46.330000,6.130000,0.000000,24.210000,44.970000
1774478846.473565,0,0.000000,0.180000,0.750000,0.200000,-106.700000,46.430000,6.030000,0.000000,24.200000,45.000000
1774478846.473565,0,0.000000,0.270000,0.720000,0.000000,-150.110000,46.930000,5.980000,0.000000,24.190000,45.000000
1774478846.489478,0,0.000000,0.360000,0.680000,0.000000,-233.220000,47.680000,6.150000,0.000000,24.170000,45.020000
