epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeletottery Level (Volts)
1772555122.683975,0,0.000000,32.500000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,47.060000
1772555122.699656,0,0.000000,32.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,47.090000
1772555122.715497,0,0.000000,32.470000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,47.090000
1772555122.731181,0,0.000000,32.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,47.110000
1772555122.756295,0,0.000000,32.520000,0.000000,0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,47.130000
1772555122.762771,0,0.000000,32.490000,0.000000,0.020000,0.000000,0.000000,0.000000,0.020000,8.000000,47.150000
1772555122.825917,0,0.000000,32.500000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,47.150000
1772555122.956724,0,0.000000,32.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,47.180000
1772555122.956724,0,0.000000,32.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380000,8.000000,47.180000
1772555122.970758,0,0.000000,32.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,47.200000
1772555122.970758,0,0.000000,32.490000,0.000000,0.050000,0.000000,0.000000,0.000000,0.150000,8.000000,47.250000
1772555122.986423,0,0.000000,32.500000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.020000,8.000000,47.270000
1772555123.002093,0,0.000000,32.500000,0.000000,0.030000,0.000000,0.000000,0.000000,-0.070000,8.000000,47.380000
1772555123.017990,0,0.000000,32.520000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070000,8.000000,47.380000
1772555123.033765,0,0.000000,32.500000,0.000000,0.030000,0.000000,0.000000,0.000000,0.020000,8.000000,47.400000
1772555123.033765,0,0.000000,32.410000,0.000000,0.010000,0.000000,0.000000,0.000000,-0.070000,8.000000,47.410000
1772555123.056828,0,0.000000,32.490000,0.000000,0.090000,0.000000,0.000000,0.000000,0.020000,8.000000,47.430000
1772555123.056828,0,0.000000,32.500000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070000,8.000000,47.450000
1772555123.065378,0,0.000000,32.520000,0.000000,0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,47.470000
1772555123.081031,0,0.000000,32.500000,0.000000,0.070000,0.000000,0.000000,0.000000,0.150000,8.000000,47.470000
