epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Unused,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769637628.942841,0,12.850000,0.000000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.000000,8.000000,44.110000
1769637628.957957,0,7.070000,0.000000,0.000000,-0.460000,0.000000,0.000000,0.000000,0.000000,8.000000,44.110000
1769637628.973936,0,-6.880000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,8.000000,44.130000
1769637628.989586,0,-10.690000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.000000,8.000000,44.150000
1769637628.989586,0,-11.390000,0.000000,0.000000,-0.500000,0.000000,0.000000,0.000000,0.500000,8.000000,44.160000
1769637629.021001,0,-3.400000,0.000000,0.000000,-0.490000,0.000000,0.000000,0.000000,0.000000,8.000000,44.180000
1769637629.021001,0,-15.690000,0.000000,0.000000,-0.430000,0.000000,0.000000,0.000000,0.000000,8.000000,44.200000
1769637629.021001,0,6.440000,0.000000,0.000000,-0.460000,0.000000,0.000000,0.090000,0.000000,8.000000,44.220000
1769637629.052588,0,2.550000,0.000000,0.000000,-0.560000,0.000000,0.000000,0.200000,0.000000,8.000000,44.220000
1769637629.084350,0,22.800000,0.000000,0.000000,-0.690000,0.000000,0.000000,0.280000,0.000000,8.000000,44.250000
1769637629.115881,0,-0.550000,0.000000,0.000000,-0.740000,0.000000,0.000000,0.380000,0.000000,8.000000,44.250000
1769637629.115881,0,13.340000,0.000000,0.000000,-0.880000,0.000000,0.000000,0.490000,0.000000,8.000000,44.270000
1769637629.147351,0,-0.500000,0.000000,0.000000,-0.920000,0.000000,0.000000,0.570000,0.000000,8.000000,44.290000
1769637629.147351,0,36.500000,0.000000,0.000000,-1.050000,0.000000,0.000000,0.630000,0.400000,8.000000,44.310000
1769637629.147351,0,11.500000,0.000000,0.000000,-1.070000,0.000000,0.000000,0.680000,0.000000,8.000000,44.310000
1769637629.179581,0,-3.660000,0.000000,0.000000,-1.130000,0.000000,0.000000,0.740000,0.000000,8.000000,44.340000
1769637629.179581,0,4.960000,0.000000,0.000000,-1.210000,0.000000,0.000000,0.770000,0.000000,8.000000,44.360000
1769637629.179581,0,-10.390000,0.000000,0.000000,-1.200000,0.000000,0.000000,0.800000,0.000000,8.000000,44.360000
1769637629.210135,0,8.930000,0.000000,0.000000,-1.280000,0.000000,0.000000,0.820000,0.000000,8.000000,44.380000
1769637629.210135,0,20.900000,0.000000,0.000000,-1.260000,0.000000,0.000000,0.850000,0.000000,8.000000,44.400000
1769637629.241455,0,-11.350000,0.000000,0.000000,-1.330000,0.000000,0.000000,0.870000,0.000000,8.000000,44.410000
1769637629.241455,0,21.150000,0.000000,0.000000,-1.440000,0.000000,0.000000,0.870000,0.000000,8.000000,44.430000
1769637629.262160,0,8.190000,0.000000,0.000000,-1.410000,0.000000,0.000000,0.860000,0.000000,8.000000,44.450000
1769637629.298150,0,-33.360000,0.000000,0.000000,-1.500000,0.000000,0.000000,0.830000,0.000000,8.000000,44.450000
1769637629.298150,0,-1.530000,0.000000,0.000000,-1.440000,0.000000,0.000000,0.800000,0.100000,8.000000,44.470000
1769637629.336361,0,13.390000,0.000000,0.000000,-1.370000,0.000000,0.000000,0.750000,0.000000,8.000000,44.490000
1769637629.336361,0,-61.560000,0.000000,0.000000,-1.510000,0.000000,0.000000,0.720000,0.000000,8.000000,44.500000
1769637629.367312,0,-4.440000,0.000000,0.000000,-1.390000,0.000000,0.000000,0.680000,0.000000,8.000000,44.520000
1769637629.367312,0,10.680000,0.000000,0.000000,-1.460000,0.000000,0.000000,0.660000,0.000000,8.000000,44.540000
1769637629.398710,0,10.180000,0.000000,0.000000,-1.500000,0.000000,0.000000,0.620000,0.100000,8.000000,44.540000
1769637629.398710,0,-6.800000,0.000000,0.000000,-1.490000,0.000000,0.000000,0.570000,0.000000,8.000000,44.560000
1769637629.430160,0,3.280000,0.000000,0.000000,-1.510000,0.000000,0.000000,0.520000,0.000000,8.000000,44.580000
1769637629.430160,0,-7.150000,0.000000,0.000000,-1.530000,0.000000,0.000000,0.510000,0.000000,8.000000,44.590000
1769637629.445893,0,4.130000,0.000000,0.000000,-1.600000,0.000000,0.000000,0.500000,0.000000,8.000000,44.610000
1769637629.461538,0,6.480000,0.000000,0.000000,-1.600000,0.000000,0.000000,0.500000,0.000000,8.000000,44.630000
1769637629.477207,0,0.100000,0.000000,0.000000,-1.640000,0.000000,0.000000,0.500000,0.000000,8.000000,44.630000
1769637629.477207,0,5.110000,0.000000,0.000000,-1.630000,0.000000,0.000000,0.470000,0.000000,8.000000,44.650000
1769637629.509066,0,2.490000,0.000000,0.000000,-1.640000,0.000000,0.000000,0.440000,0.000000,8.000000,44.660000
1769637629.509066,0,3.840000,0.000000,0.000000,-1.640000,0.000000,0.000000,0.400000,0.000000,8.000000,44.680000
1769637629.540649,0,5.070000,0.000000,0.000000,-1.630000,0.000000,0.000000,0.370000,0.000000,8.000000,44.700000
1769637629.540649,0,30.000000,0.000000,0.000000,-1.670000,0.000000,0.000000,0.360000,0.000000,8.000000,44.720000
1769637629.572201,0,12.130000,0.000000,0.000000,-1.620000,0.000000,0.000000,0.330000,0.000000,8.000000,44.720000
1769637629.572201,0,-5.280000,0.000000,0.000000,-1.580000,0.000000,0.000000,0.310000,0.000000,8.000000,44.750000
1769637629.572201,0,13.140000,0.000000,0.000000,-1.590000,0.000000,0.000000,0.280000,0.000000,8.000000,44.750000
1769637629.603631,0,6.170000,0.000000,0.000000,-1.550000,0.000000,0.000000,0.230000,0.100000,8.000000,44.770000
1769637629.603631,0,-2.750000,0.000000,0.000000,-1.520000,0.000000,0.000000,0.200000,0.100000,8.000000,44.790000
1769637629.635262,0,18.900000,0.000000,0.000000,-1.520000,0.000000,0.000000,0.170000,0.000000,8.000000,44.810000
1769637629.635262,0,11.630000,0.000000,0.000000,-1.540000,0.000000,0.000000,0.150000,0.000000,8.000000,44.810000
1769637629.669538,0,7.210000,0.000000,0.000000,-1.540000,0.000000,0.000000,0.140000,0.000000,8.000000,44.840000
1769637629.688417,0,-6.690000,0.000000,0.000000,-1.530000,0.000000,0.000000,0.110000,0.000000,8.000000,44.840000
1769637629.698331,0,16.550000,0.000000,0.000000,-1.580000,0.000000,0.000000,0.100000,0.000000,8.000000,44.860000
1769637629.698331,0,0.790000,0.000000,0.000000,-1.510000,0.000000,0.000000,0.100000,0.000000,8.000000,44.880000
1769637629.713964,0,25.540000,0.000000,0.000000,-1.550000,0.000000,0.000000,0.090000,0.000000,8.000000,44.900000
1769637629.713964,0,-40.540000,0.000000,0.000000,-1.420000,0.000000,0.000000,0.070000,0.000000,8.000000,44.900000
1769637629.745830,0,4.050000,0.000000,0.000000,-1.550000,0.000000,0.000000,0.070000,0.000000,8.000000,44.930000
1769637629.745830,0,8.150000,0.000000,0.000000,-1.540000,0.000000,0.000000,0.050000,0.000000,8.000000,44.930000
1769637629.777666,0,6.320000,0.000000,0.000000,-1.550000,0.000000,0.000000,0.050000,0.000000,8.000000,44.950000
1769637629.809187,0,-43.160000,0.000000,0.000000,-1.480000,0.000000,0.000000,0.020000,0.000000,8.000000,44.970000
1769637629.809187,0,12.940000,0.000000,0.000000,-1.590000,0.000000,0.000000,0.010000,0.000000,8.000000,44.990000
1769637629.846065,0,3.350000,0.000000,0.000000,-1.510000,0.000000,0.000000,0.000000,0.000000,8.000000,45.000000
1769637629.846065,0,14.900000,0.000000,0.000000,-1.500000,0.000000,0.000000,0.000000,0.000000,8.000000,45.020000
1769637629.846065,0,-12.140000,0.000000,0.000000,-1.370000,0.000000,0.000000,0.000000,0.000000,8.000000,45.020000
1769637629.872507,0,-27.540000,0.000000,0.000000,-1.320000,0.000000,0.000000,0.000000,0.000000,8.000000,45.040000
1769637629.904034,0,20.620000,0.000000,0.000000,-1.350000,0.000000,0.000000,0.000000,0.000000,8.000000,45.060000
1769637629.904034,0,-9.180000,0.000000,0.000000,-1.240000,0.000000,0.000000,0.000000,0.000000,8.000000,45.080000
1769637629.941778,0,1.690000,0.000000,0.000000,-1.120000,0.000000,0.000000,0.000000,0.000000,8.000000,45.090000
1769637629.941778,0,-13.970000,0.000000,0.000000,-1.120000,0.000000,0.000000,0.000000,0.000000,8.000000,45.110000
1769637629.942778,0,-8.220000,0.000000,0.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,8.000000,45.110000
1769637629.961602,0,9.030000,0.000000,0.000000,-1.280000,0.000000,0.000000,0.000000,0.000000,8.000000,45.130000
1769637629.961602,0,7.130000,0.000000,0.000000,-1.340000,0.000000,0.000000,0.000000,0.200000,8.000000,45.150000
1769637629.997520,0,7.150000,0.000000,0.000000,-1.340000,0.000000,0.000000,0.000000,0.000000,8.000000,45.160000
1769637629.997520,0,-23.540000,0.000000,0.000000,-1.300000,0.000000,0.000000,0.000000,0.000000,8.000000,45.180000
1769637630.024862,0,-5.900000,0.000000,0.000000,-1.360000,0.000000,0.000000,0.000000,0.000000,8.000000,45.200000
1769637630.024862,0,6.090000,0.000000,0.000000,-1.370000,0.000000,0.000000,0.000000,0.000000,8.000000,45.200000
1769637630.065284,0,-6.590000,0.000000,0.000000,-1.400000,0.000000,0.000000,0.000000,0.200000,8.000000,45.220000
1769637630.066341,0,3.630000,0.000000,0.000000,-1.420000,0.000000,0.000000,0.000000,0.000000,8.000000,45.240000
1769637630.098358,0,-26.060000,0.000000,0.000000,-1.360000,0.000000,0.000000,0.000000,0.000000,8.000000,45.250000
1769637630.098358,0,6.050000,0.000000,0.000000,-1.420000,0.000000,0.000000,0.000000,0.000000,8.000000,45.270000
1769637630.119915,0,-5.260000,0.000000,0.000000,-1.320000,0.000000,0.000000,0.000000,0.200000,8.000000,45.290000
1769637630.119915,0,-27.300000,0.000000,0.000000,-1.320000,0.000000,0.000000,0.000000,0.000000,8.000000,45.290000
1769637630.119915,0,-4.400000,0.000000,0.000000,-1.360000,0.000000,0.000000,0.000000,0.000000,8.000000,45.310000
1769637630.151262,0,-16.300000,0.000000,0.000000,-1.290000,0.000000,0.000000,0.000000,0.000000,8.000000,45.330000
1769637630.182890,0,-7.190000,0.000000,0.000000,-1.190000,0.000000,0.000000,0.000000,0.000000,8.000000,45.340000
1769637630.182890,0,-5.780000,0.000000,0.000000,-1.050000,0.000000,0.000000,0.000000,0.000000,8.000000,45.360000
1769637630.198719,0,-11.600000,0.000000,0.000000,-0.890000,0.000000,0.000000,0.000000,0.000000,8.000000,45.380000
1769637630.198719,0,12.310000,0.000000,0.000000,-0.720000,0.000000,0.000000,0.000000,0.000000,8.000000,45.380000
1769637630.230369,0,-0.100000,0.000000,0.000000,-0.490000,0.000000,0.000000,0.000000,0.000000,8.000000,45.400000
1769637630.230369,0,2.510000,0.000000,0.000000,-0.310000,0.000000,0.000000,0.000000,0.000000,8.000000,45.410000
1769637630.262022,0,-7.480000,0.000000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,45.430000
1769637630.277842,0,0.310000,0.000000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,45.450000
