epoch,mark,Clutch Command,Ankle Angle,Desired Torque (R),Measured Torque (R),Unused,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769447628.891732,0,40.000000,0.030000,229.600000,1.390000,0.000000,0.000000,0.000000,0.000000,8.000000,27.090000
1769447628.907845,0,40.000000,0.030000,86.880000,1.390000,0.000000,0.000000,0.000000,0.000000,8.000000,27.110000
1769447628.933381,0,40.000000,0.070000,-252.360000,1.740000,0.000000,0.000000,0.010000,0.000000,8.000000,27.120000
1769447628.933381,0,40.000000,0.050000,-15.350000,1.830000,0.000000,0.000000,0.010000,0.000000,8.000000,27.130000
1769447628.955476,0,40.000000,0.030000,-194.330000,1.710000,0.000000,0.000000,0.010000,0.000000,8.000000,27.140000
1769447628.971340,0,40.000000,0.010000,-293.540000,1.170000,0.000000,0.000000,0.010000,0.000000,8.000000,27.170000
1769447628.971340,0,40.000000,0.050000,-207.250000,1.850000,0.000000,0.000000,0.020000,0.000000,8.000000,27.180000
1769447628.987458,0,40.000000,0.030000,-122.060000,1.230000,0.000000,0.000000,0.020000,0.000000,8.000000,27.200000
1769447629.003150,0,40.000000,0.030000,89.910000,0.680000,0.000000,0.000000,0.020000,0.000000,8.000000,27.200000
1769447629.019049,0,40.000000,0.050000,-228.360000,0.790000,0.000000,0.000000,0.020000,0.000000,8.000000,27.220000
1769447629.035066,0,40.000000,0.610000,-216.990000,0.690000,0.000000,0.000000,0.020000,0.070000,8.000000,27.230000
1769447629.066388,0,40.000000,1.250000,-10.270000,2.180000,0.000000,0.000000,0.030000,0.070000,8.000000,27.260000
1769447629.066388,0,40.000000,0.550000,-286.000000,2.350000,0.000000,0.000000,0.030000,0.000000,8.000000,27.270000
1769447629.082029,0,40.000000,0.010000,73.510000,2.180000,0.000000,0.000000,0.010000,0.000000,8.000000,27.290000
1769447629.097943,0,40.000000,0.050000,212.960000,0.110000,0.000000,0.000000,0.000000,0.000000,8.000000,27.290000
1769447629.129257,0,40.000000,0.010000,46.450000,0.340000,0.000000,0.000000,0.000000,0.070000,8.000000,27.310000
1769447629.129257,0,40.000000,0.030000,-250.600000,1.390000,0.000000,0.000000,0.000000,0.000000,8.000000,27.320000
1769447629.144942,0,40.000000,0.030000,23.050000,0.800000,0.000000,0.000000,0.000000,0.000000,8.000000,27.350000
1769447629.160695,0,40.000000,0.110000,-196.170000,0.670000,0.000000,0.000000,0.000000,0.070000,8.000000,27.360000
1769447629.176384,0,40.000000,2.050000,-214.210000,0.560000,0.000000,0.000000,0.000000,0.000000,8.000000,27.370000
1769447629.176384,0,40.000000,2.930000,-63.700000,2.360000,0.000000,0.000000,0.010000,0.000000,8.000000,27.380000
1769447629.207949,0,40.000000,3.690000,-206.000000,0.690000,0.000000,0.000000,0.000000,0.070000,8.000000,27.400000
1769447629.223584,0,40.000000,4.210000,-120.480000,0.380000,0.000000,0.000000,0.000000,0.000000,8.000000,27.420000
1769447629.239276,0,40.000000,4.500000,-171.000000,0.790000,0.000000,0.000000,0.000000,0.070000,8.000000,27.440000
1769447629.239276,0,40.000000,3.790000,-315.860000,1.220000,0.000000,0.000000,0.000000,0.000000,8.000000,27.450000
1769447629.255237,0,40.000000,2.420000,-323.820000,1.520000,0.000000,0.000000,0.000000,0.000000,8.000000,27.460000
1769447629.286613,0,40.000000,0.620000,243.710000,1.230000,0.000000,0.000000,0.000000,0.000000,8.000000,27.480000
1769447629.286613,0,40.000000,0.030000,0.000000,1.000000,0.000000,0.000000,0.000000,0.140000,8.000000,27.500000
1769447629.302279,0,40.000000,0.050000,-100.970000,0.830000,0.000000,0.000000,0.000000,0.000000,8.000000,27.520000
1769447629.329298,0,40.000000,0.030000,171.050000,0.400000,0.000000,0.000000,0.000000,0.000000,8.000000,27.530000
1769447629.348808,0,40.000000,0.030000,-85.680000,0.180000,0.000000,0.000000,0.000000,0.070000,8.000000,27.540000
1769447629.352755,0,40.000000,0.050000,172.280000,0.210000,0.000000,0.000000,0.000000,0.000000,8.000000,27.550000
1769447629.364446,0,40.000000,1.300000,-164.580000,0.280000,0.000000,0.000000,0.000000,0.000000,8.000000,27.570000
1769447629.380217,0,40.000000,3.480000,-251.190000,0.370000,0.000000,0.000000,0.000000,0.000000,8.000000,27.590000
1769447629.395962,0,40.000000,5.210000,265.410000,0.380000,0.000000,0.000000,0.000000,0.000000,8.000000,27.610000
1769447629.411922,0,40.000000,6.030000,-252.140000,1.040000,0.000000,0.000000,0.000000,0.200000,8.000000,27.620000
1769447629.411922,0,40.000000,6.550000,58.930000,0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,27.630000
1769447629.443352,0,40.000000,6.190000,-203.500000,0.680000,0.000000,0.000000,0.000000,0.140000,8.000000,27.640000
1769447629.465685,0,40.000000,5.090000,-82.720000,1.240000,0.000000,0.000000,0.000000,0.000000,8.000000,27.670000
1769447629.474811,0,40.000000,3.900000,-44.630000,0.460000,0.000000,0.000000,0.000000,0.000000,8.000000,27.680000
1769447629.490746,0,40.000000,2.990000,-36.540000,0.870000,0.000000,0.000000,0.000000,0.200000,8.000000,27.700000
1769447629.490746,0,40.000000,2.300000,-317.330000,0.150000,0.000000,0.000000,0.000000,0.070000,8.000000,27.700000
1769447629.522213,0,40.000000,2.930000,185.550000,0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,27.720000
1769447629.538034,0,40.000000,3.710000,314.480000,0.230000,0.000000,0.000000,0.000000,0.000000,8.000000,27.730000
1769447629.554015,0,40.000000,4.920000,16.750000,0.250000,0.000000,0.000000,0.000000,0.070000,8.000000,27.760000
1769447629.554015,0,40.000000,6.570000,-128.440000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,27.770000
1769447629.585459,0,40.000000,7.510000,281.630000,0.230000,0.000000,0.000000,0.000000,0.000000,8.000000,27.790000
1769447629.601103,0,40.000000,8.360000,123.300000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,27.790000
1769447629.601103,0,40.000000,8.920000,241.030000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,27.810000
1769447629.616829,0,40.000000,9.140000,209.000000,0.020000,0.000000,0.000000,0.000000,0.070000,8.000000,27.820000
1769447629.648205,0,40.000000,9.090000,165.250000,0.050000,0.000000,0.000000,0.000000,0.140000,8.000000,27.850000
1769447629.648205,0,40.000000,8.850000,-107.440000,0.070000,0.000000,0.000000,0.000000,0.000000,8.000000,27.860000
1769447629.679710,0,40.000000,8.930000,-29.320000,-0.090000,0.000000,0.000000,0.000000,0.000000,8.000000,27.870000
1769447629.695360,0,40.000000,9.220000,-232.940000,-0.050000,0.000000,0.000000,0.000000,0.070000,8.000000,27.880000
