epoch,mark,Unused,Ankused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds),Battery Level (Volts),???
1770067804.348628,0,0.000000,5.980000,0.000000,0.170000,0.000000,0.000000,0.000000,0.010000,8.000000,39.810000
1770067804.348628,0,0.000000,5.210000,0.000000,0.150000,0.000000,0.000000,0.000000,0.010000,8.000000,39.810000
1770067804.394629,0,0.000000,4.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,8.000000,39.840000
1770067804.396372,0,0.000000,2.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,8.000000,39.840000
1770067804.396372,0,0.000000,0.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,8.000000,39.860000
1770067804.427793,0,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,39.880000
1770067804.427793,0,0.000000,0.100000,0.000000,-0.680000,0.000000,0.000000,0.000000,0.030000,8.000000,39.900000
1770067804.475585,0,0.000000,0.200000,0.000000,-0.340000,0.000000,0.000000,0.000000,0.050000,8.000000,39.900000
1770067804.507446,0,0.000000,0.100000,0.000000,-0.400000,0.000000,0.000000,0.000000,0.050000,8.000000,39.930000
1770067804.507446,0,0.000000,0.100000,0.000000,-0.150000,0.000000,0.000000,0.000000,0.070000,8.000000,39.950000
1770067804.507446,0,0.000000,0.100000,0.000000,-0.150000,0.000000,0.000000,0.000000,0.090000,8.000000,39.970000
1770067804.523546,0,0.000000,0.070000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.100000,8.000000,40.000000
1770067804.523546,0,0.000000,0.100000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.100000,8.000000,40.020000
1770067804.555080,0,0.000000,0.100000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.120000,8.000000,40.020000
1770067804.555080,0,0.000000,0.100000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.120000,8.000000,40.040000
1770067804.555080,0,0.000000,0.100000,0.000000,-0.090000,0.000000,0.000000,0.000000,0.120000,8.000000,40.060000
1770067804.603053,0,0.000000,0.100000,0.000000,-0.090000,0.000000,0.000000,0.000000,0.150000,8.000000,40.080000
1770067804.622156,0,0.000000,0.100000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.150000,8.000000,40.090000
1770067804.650843,0,0.000000,0.100000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.170000,8.000000,40.110000
1770067804.650843,0,0.000000,0.100000,0.000000,-0.230000,0.000000,0.000000,0.000000,0.180000,8.000000,40.130000
1770067804.682233,0,0.000000,0.070000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.180000,8.000000,40.130000
1770067804.682233,0,0.000000,0.070000,0.000000,-0.280000,0.000000,0.000000,0.000000,0.180000,8.000000,40.150000
1770067804.682233,0,0.000000,0.070000,0.000000,-0.230000,0.000000,0.000000,0.000000,0.200000,8.000000,40.160000
